customer_id,year_month,age,segment,income,spend,balance_avg,loan,digital_logins_30d,incoming_tx_cnt_30d,outgoing_tx_cnt_30d,salary_variance,balance_trend_90d,spend_travel,spend_food_grocery,spend_entertainment,spend_education,spend_utilities,spend_health,spend_shopping,travel_tx_cnt_90d,recency_last_travel_days,bill_autopay_active,failed_payments_90d,payday_cadence_days,days_since_last_payday,season_flag,upcoming_bill_due_days,balance_ratio,surplus,spend_ratio,dti,cashflow_volatility,liquidity_buffer,digital_index,inflow_baseline_90d,max_inflow_z_30d,max_inflow_pct_30d,large_inflow_flag_7d,days_since_large_inflow
1,2025-08,48,family,9475780.0,7623236.0,1877863.0,20676745.0,19,2,22,478225.0,0.223,745027.0,2030842.0,386494.0,62014.0,909441.0,445764.0,1355553.0,1,1,0,1,30,5,holiday_week,10,0.198,1852544.0,0.804,2.182,0.164,0.868,0.826,9818341.0,-0.016,0.496,0,119
2,2025-08,32,worker,10641996.0,7845148.0,3265030.0,57867770.0,18,5,26,451620.0,0.02,0.0,326881.0,537483.0,197994.0,669786.0,307037.0,43003.0,0,365,1,0,30,8,none,11,0.307,2796848.0,0.737,5.438,0.241,1.094,0.667,8011561.0,5.329,0.995,1,2
3,2025-08,42,family,20945913.0,16117702.0,5299247.0,0.0,22,3,23,2443669.0,-0.233,1448777.0,2089146.0,1543152.0,74398.0,660182.0,1049574.0,110393.0,1,1,0,0,30,4,none,2,0.253,4828210.0,0.769,0.0,0.507,0.979,0.917,17667778.0,2.316,0.91,1,2
4,2025-08,31,worker,11195643.0,9366739.0,1782108.0,0.0,26,5,19,1603281.0,0.069,0.0,2548433.0,784934.0,0.0,678810.0,305905.0,556369.0,0,348,1,0,14,18,none,12,0.159,1828904.0,0.837,0.0,0.07,0.788,1.3,12837540.0,0.927,0.716,0,119
5,2025-08,20,student,5306227.0,3176186.0,1580313.0,15579278.0,18,8,23,119550.0,-0.008,130535.0,643253.0,298091.0,58235.0,272997.0,58871.0,730139.0,0,1,0,0,14,15,none,7,0.298,2130041.0,0.599,2.936,0.204,1.333,0.75,3238592.0,-1.709,0.153,0,77
6,2025-08,27,other,5067167.0,4315750.0,1462498.0,0.0,18,1,29,237301.0,-0.019,545202.0,806023.0,30607.0,250981.0,263413.0,101724.0,795802.0,0,1,1,0,14,10,none,1,0.289,751416.0,0.852,0.0,0.089,0.926,0.6,4216931.0,-2.623,0.068,0,104
7,2025-08,41,family,18180571.0,9345714.0,3852480.0,0.0,18,3,21,1409842.0,-0.136,702285.0,1321463.0,1089656.0,430077.0,818836.0,327048.0,2179864.0,1,1,0,1,30,19,pre_holiday,5,0.212,8834857.0,0.514,0.0,0.246,1.385,0.818,13440458.0,-2.477,0.078,0,12
8,2025-08,32,family,14564288.0,11203654.0,2478756.0,0.0,15,5,15,1228206.0,-0.537,0.0,3498892.0,935551.0,8389.0,975453.0,781833.0,1408082.0,0,349,1,0,30,18,none,15,0.17,3360634.0,0.769,0.0,0.414,0.871,0.938,12680984.0,-1.601,0.168,0,66
9,2025-08,22,student,3213093.0,2399573.0,288272.0,0.0,13,5,16,108865.0,0.084,64901.0,651123.0,506235.0,435503.0,195746.0,61050.0,266434.0,0,119,1,0,30,0,holiday_week,11,0.09,813519.0,0.747,0.0,0.286,0.79,0.765,2682395.0,2.361,0.914,1,0
10,2025-08,38,worker,13318898.0,8358355.0,5444071.0,0.0,17,4,20,2053455.0,-0.311,0.0,2299377.0,534530.0,365495.0,553781.0,267755.0,349653.0,0,365,1,0,14,12,none,8,0.409,4960543.0,0.628,0.0,0.229,1.448,0.81,13190015.0,0.835,0.697,0,98
11,2025-08,34,worker,16481450.0,11810561.0,6525075.0,0.0,16,3,18,1336724.0,-0.409,0.0,2132198.0,1175225.0,126677.0,440453.0,716593.0,1751651.0,0,365,1,0,30,25,holiday_week,12,0.396,4670889.0,0.717,0.0,0.44,1.25,0.842,15465008.0,-1.051,0.259,0,87
12,2025-08,60,senior,12463451.0,7809835.0,4751968.0,28265629.0,11,3,24,1078951.0,-0.058,581918.0,1937026.0,1755606.0,210785.0,505664.0,273658.0,874093.0,0,1,1,0,14,23,none,18,0.381,4653616.0,0.627,2.268,0.287,1.406,0.44,8776231.0,-0.233,0.442,0,25
13,2025-08,34,worker,15559513.0,8701577.0,8148994.0,0.0,15,2,25,2301940.0,0.38,905137.0,1060313.0,809577.0,304957.0,618406.0,686470.0,951563.0,1,1,0,1,30,25,none,7,0.524,6857936.0,0.559,0.0,0.336,1.831,0.577,12630834.0,-0.442,0.391,0,68
14,2025-08,35,family,15581471.0,10392184.0,5318298.0,0.0,16,4,12,585036.0,0.134,998069.0,2312410.0,830874.0,361370.0,205406.0,114485.0,2420028.0,0,1,0,1,30,28,post_holiday,8,0.341,5189288.0,0.667,0.0,0.345,1.261,1.231,14023051.0,1.372,0.798,0,18
15,2025-08,37,worker,11111065.0,6159994.0,4672892.0,0.0,11,3,25,617535.0,-0.189,672741.0,256666.0,209361.0,193138.0,436728.0,23333.0,718113.0,0,1,0,1,30,1,holiday_week,7,0.421,4951072.0,0.554,0.0,0.125,1.66,0.423,11232255.0,-1.507,0.182,0,97
16,2025-08,18,student,5638171.0,4332481.0,1897430.0,15590971.0,17,6,14,15032.0,-0.207,295749.0,444759.0,692099.0,379566.0,278347.0,224513.0,925990.0,1,1,0,0,30,8,holiday_week,8,0.337,1305690.0,0.768,2.765,0.254,1.089,1.133,7131968.0,0.599,0.645,0,78
17,2025-08,29,worker,10246147.0,5609634.0,3417324.0,0.0,12,4,17,526472.0,0.336,380593.0,1158244.0,142363.0,62972.0,192136.0,309332.0,107303.0,0,1,1,0,30,13,holiday_week,0,0.334,4636513.0,0.547,0.0,0.099,1.522,0.667,10301675.0,0.514,0.626,0,28
18,2025-08,18,student,4234788.0,3501308.0,833166.0,5989528.0,14,9,22,61177.0,-1.0,0.0,1383719.0,335901.0,577251.0,187192.0,41181.0,976065.0,0,365,1,0,30,15,none,12,0.197,733480.0,0.827,1.414,0.153,0.843,0.609,3168151.0,-1.455,0.189,0,89
19,2025-08,27,family,21602370.0,11725294.0,16170400.0,53217717.0,14,8,22,2103908.0,0.409,437682.0,976382.0,699479.0,0.0,690274.0,1013689.0,1173881.0,0,1,0,0,14,23,none,4,0.749,9877076.0,0.543,2.464,0.413,2.3,0.609,19138041.0,2.722,0.938,1,1
20,2025-08,40,worker,9619002.0,6108603.0,2493545.0,0.0,16,4,22,779138.0,-0.793,0.0,792296.0,451221.0,135191.0,701995.0,646481.0,1051569.0,0,343,1,0,30,21,none,14,0.259,3510399.0,0.635,0.0,0.196,1.196,0.696,8918223.0,-0.507,0.376,0,12
21,2025-08,44,family,12543957.0,7856399.0,2810939.0,61505586.0,24,6,25,578860.0,-0.587,108824.0,1975082.0,95351.0,356732.0,566993.0,162928.0,1435769.0,0,52,1,0,14,21,holiday_week,12,0.224,4687558.0,0.626,4.903,0.49,1.156,0.923,10312279.0,-1.702,0.154,0,17
22,2025-08,27,worker,8494542.0,7804548.0,2477421.0,0.0,20,4,17,467020.0,-0.181,792323.0,2971857.0,1174504.0,0.0,722450.0,712113.0,716792.0,0,1,1,0,30,4,holiday_week,8,0.292,689995.0,0.919,0.0,0.072,0.862,1.111,8244282.0,1.462,0.812,1,1
23,2025-08,19,other,11450731.0,8811836.0,3759361.0,0.0,13,5,24,1123011.0,1.0,518250.0,2204554.0,611924.0,280431.0,561501.0,0.0,1582623.0,0,1,1,0,30,20,post_holiday,6,0.328,2638896.0,0.77,0.0,0.112,1.076,0.52,6404319.0,0.093,0.523,0,14
24,2025-08,50,senior,7281868.0,5011672.0,644927.0,0.0,11,5,18,23376.0,0.805,1364238.0,1462632.0,113158.0,223600.0,99325.0,388590.0,917471.0,4,1,1,0,30,23,holiday_week,4,0.089,2270196.0,0.688,0.0,0.356,0.855,0.579,7157876.0,0.7,0.668,0,67
25,2025-08,34,family,18239014.0,14496513.0,8107828.0,0.0,17,4,20,1280532.0,0.368,0.0,2974680.0,2116025.0,0.0,1210099.0,189536.0,1122857.0,0,332,1,0,30,22,none,8,0.445,3742501.0,0.795,0.0,0.22,1.188,0.81,15111787.0,-2.031,0.116,0,106
26,2025-08,27,student,5397982.0,2180359.0,1797771.0,15811494.0,10,5,14,512676.0,0.21,127173.0,415972.0,126737.0,498333.0,109480.0,161788.0,170606.0,0,6,0,0,30,17,none,0,0.333,3217623.0,0.404,2.929,0.245,2.062,0.667,4769355.0,1.393,0.801,0,14
27,2025-08,34,worker,8613192.0,6145770.0,1145548.0,50544510.0,14,7,20,250762.0,-0.788,0.0,1476104.0,614968.0,406575.0,358155.0,59148.0,786784.0,0,327,0,0,30,2,none,0,0.133,2467421.0,0.714,5.868,0.242,0.887,0.667,9645555.0,3.724,0.976,1,0
28,2025-08,19,student,5611405.0,5721541.0,1836721.0,13565709.0,18,3,14,528858.0,0.121,233521.0,1021157.0,717505.0,915933.0,230821.0,225336.0,671139.0,0,1,0,0,30,4,none,3,0.327,0.0,1.02,2.418,0.28,0.811,1.2,3988432.0,-2.165,0.103,0,54
29,2025-08,22,student,4734938.0,3503153.0,1884141.0,9849835.0,13,1,22,112233.0,-0.197,299059.0,1028838.0,374960.0,512224.0,239916.0,51366.0,763251.0,1,1,1,0,30,22,pre_holiday,8,0.398,1231785.0,0.74,2.08,0.219,1.214,0.565,4455140.0,0.607,0.647,0,101
30,2025-08,22,worker,6374495.0,4654573.0,678564.0,9867314.0,21,5,32,344989.0,-0.318,572475.0,463025.0,0.0,192972.0,434254.0,160756.0,799863.0,1,1,1,0,14,26,none,0,0.106,1719922.0,0.73,1.548,0.284,0.831,0.636,6496173.0,-1.346,0.207,0,61
31,2025-08,35,family,26823976.0,21518710.0,14335475.0,0.0,17,5,16,49100.0,0.12,1048316.0,6616980.0,2541385.0,135709.0,1936364.0,2209200.0,2588810.0,0,1,1,0,30,24,holiday_week,10,0.534,5305266.0,0.802,0.0,0.363,1.289,1.0,24826944.0,4.611,0.99,1,0
32,2025-08,35,other,7273165.0,6213761.0,2541270.0,0.0,23,4,25,956875.0,-0.162,334996.0,1470234.0,486554.0,262734.0,660656.0,236550.0,1027788.0,0,1,1,0,30,12,none,8,0.349,1059403.0,0.854,0.0,0.518,0.994,0.885,4784805.0,2.125,0.893,1,2
